freight_id,shipment_id,po_id,carrier,origin_city,destination_warehouse_id,lane,service_level,shipped_date,delivery_date,weight_kg,freight_rate_per_kg,fuel_surcharge_pct,base_freight_cost,fuel_surcharge,accessorial_charges,total_freight_cost,invoice_number,invoice_status,payment_date,cost_per_unit_shipped,units_shipped,detention_hours,detention_charge,damage_claim_amount,on_time,carrier_rating,notes
FRT-011,30,30,Maersk,China,8,China-MidWest,Ocean Freight,2025-10-01,2025-11-05,2100.00,0.75,16.0,1575.00,252.00,50.00,1877.00,INV-MSK-20251110,Paid,2025-11-25,1.88,1000,4,200.00,0.00,No,2.8,Transpacific route delayed by typhoon rerouting. 4hrs detention at Long Beach port. Cost per kg still competitive despite surcharges.
FRT-012,35,35,USPS,USA-Domestic,1,Domestic-East Coast,Ground,2025-05-20,2025-05-23,45.00,1.20,8.0,54.00,4.32,0.00,58.32,INV-USPS-20250601,Paid,2025-06-15,0.58,100,0,0.00,0.00,Yes,4.0,Domestic shipment. Standard ground. No issues. AmeriParts consistent with short lead times.
FRT-013,40,40,FedEx,Norway,6,Norway-Southeast Hub,Standard,2025-08-10,2025-08-25,130.00,2.90,11.0,377.00,41.47,20.00,438.47,INV-FDX-20250901,Paid,2025-09-15,2.19,200,0,0.00,0.00,Yes,4.3,Smooth Nordic route. Accessorial for cold chain documentation. Quality packaging from Nordic Materials.
FRT-014,45,45,XPO Logistics,USA-Domestic,3,Domestic-Midwest,LTL,2025-06-15,2025-06-17,320.00,0.95,9.0,304.00,27.36,0.00,331.36,INV-XPO-20250625,Paid,2025-07-10,0.66,500,0,0.00,0.00,Yes,4.5,LTL domestic. MidWest Industrial ships from nearby facility. 2-day transit. Excellent.
FRT-015,50,50,DHL,Morocco,4,Morocco-Midwest,Standard,2025-11-01,2025-12-10,92.00,2.70,14.5,248.40,36.02,60.00,344.42,INV-DHL-20251215,Disputed,null,3.44,100,6,300.00,0.00,No,1.5,Major delay - 25 days late. Customs rejection at US port due to missing phytosanitary certificate. 6hrs detention. Casablanca Imports documentation issues again. Dispute over who pays detention.
FRT-016,55,55,UPS,Taiwan,7,Taiwan-Pacific NW,Express,2025-09-01,2025-09-10,145.00,3.00,11.5,435.00,50.03,0.00,485.03,INV-UPS-20250915,Paid,2025-09-30,2.43,200,0,0.00,0.00,Yes,4.4,Taiwan Precision Corp ships well-packaged. Express service reliable on this lane.
FRT-017,60,60,Maersk,Brazil,5,Brazil-Pacific NW,Ocean Freight,2025-12-01,2026-01-15,1800.00,0.80,17.0,1440.00,244.80,100.00,1784.80,INV-MSK-20260120,Outstanding,null,2.23,800,5,250.00,0.00,No,2.2,Port of Santos container shortage added 15 days. Workers union slowdown. Detention at Long Beach. Sao Paulo Packaging logistics remain problematic.
FRT-018,65,65,FedEx,Mexico,1,Mexico-East Coast,Express,2025-07-15,2025-07-19,68.00,2.40,10.0,163.20,16.32,0.00,179.52,INV-FDX-20250725,Paid,2025-08-10,1.20,150,0,0.00,0.00,Yes,4.6,Nearshore advantage. 4-day express from Mexico City. Competitive cost. Mexico Logistics SA uses pre-cleared customs broker.
FRT-019,70,70,DHL,UK,3,UK-Midwest,Standard,2025-10-15,2025-10-28,110.00,2.80,12.0,308.00,36.96,35.00,379.96,INV-DHL-20251105,Paid,2025-11-20,2.53,150,0,0.00,0.00,No,3.4,2-day delay from new Brexit customs requirements. Accessorial for additional customs brokerage fees. London Specialty Parts adjusting to new HS codes.
FRT-020,75,75,USPS,USA-Domestic,6,Domestic-Southeast,Ground,2025-08-05,2025-08-08,55.00,1.15,8.5,63.25,5.38,0.00,68.63,INV-USPS-20250815,Paid,2025-08-30,0.46,150,0,0.00,0.00,Yes,4.1,MidWest Industrial domestic. Reliable ground service. No issues.
FRT-021,80,80,UPS,China,1,China-East Coast Hub,Economy,2026-01-05,2026-01-25,195.00,2.35,15.0,458.25,68.74,45.00,571.99,INV-UPS-20260130,Outstanding,null,1.91,300,3,150.00,850.00,No,2.5,Shenzhen Fast Supply shipment. 5-day delay from production issues. 3hrs detention. Damage claim for crushed outer cartons - 15% of ergonomic mouse pads damaged.
FRT-022,85,85,XPO Logistics,Canada,4,Canada-Midwest,LTL,2025-11-20,2025-12-05,280.00,1.40,10.0,392.00,39.20,0.00,431.20,INV-XPO-20251210,Paid,2025-12-25,2.16,200,0,0.00,0.00,No,3.6,Canadian Lumber Co. 5-day delay from wildfire-related road closures in BC. LTL rerouted through Alberta.
FRT-023,90,90,DHL,South Korea,2,South Korea-East Coast,Express,2025-12-10,2025-12-17,165.00,3.05,11.0,503.25,55.36,0.00,558.61,INV-DHL-20251220,Paid,2026-01-05,1.86,300,0,0.00,0.00,Yes,4.7,Seoul Electronics premium route. DHL priority handling for electronic components. Excellent condition on arrival.
FRT-024,95,95,FedEx,Vietnam,7,Vietnam-Pacific NW,Standard,2026-01-10,2026-01-25,200.00,2.05,12.5,410.00,51.25,0.00,461.25,INV-FDX-20260130,Outstanding,null,1.84,250,0,0.00,0.00,Yes,4.4,Vietnam Manufacturing consistent. Good packaging. Standard transit time met.
FRT-025,100,100,Maersk,Peru,3,Peru-Midwest,Ocean Freight,2025-09-20,2025-10-25,950.00,0.80,14.0,760.00,106.40,80.00,946.40,INV-MSK-20251030,Paid,2025-11-15,1.89,500,2,100.00,0.00,No,3.0,Andean Metals Corp. Minor delay from Callao port congestion. Ocean freight competitive. 2hrs detention at destination.
FRT-026,105,105,UPS,Australia,5,Australia-Pacific NW,Standard,2025-10-01,2025-10-18,88.00,2.95,13.0,259.60,33.75,0.00,293.35,INV-UPS-20251025,Paid,2025-11-10,2.93,100,0,0.00,0.00,No,3.5,Brisbane Materials. 3-day delay from Sydney airport cargo backlog. Honey shipment required temperature monitoring.
FRT-027,110,110,FedEx,Germany,1,Germany-East Coast Hub,Express,2025-11-05,2025-11-12,120.00,3.15,10.5,378.00,39.69,0.00,417.69,INV-FDX-20251120,Paid,2025-12-05,2.09,200,0,0.00,0.00,Yes,4.8,Rhine Chemicals AG. Express pharmaceutical-grade shipping. Temperature logs perfect. FedEx priority science service.
FRT-028,115,115,DHL,China,8,China-MidWest,Economy,2026-02-01,2026-02-20,175.00,2.25,15.5,393.75,61.03,30.00,484.78,INV-DHL-20260225,Outstanding,null,1.62,300,2,100.00,0.00,No,3.1,Shenzhen Fast Supply. 4-day delay. Chinese New Year backlog. 2hrs detention at Chicago warehouse receiving.
FRT-029,120,120,USPS,USA-Domestic,6,Domestic-Southeast,Ground,2025-12-15,2025-12-18,40.00,1.10,8.0,44.00,3.52,0.00,47.52,INV-USPS-20251225,Paid,2026-01-10,0.48,100,0,0.00,0.00,Yes,4.0,AmeriParts Inc domestic. Holiday season but on-time. Reliable.
FRT-030,125,125,XPO Logistics,Mexico,2,Mexico-East Coast,LTL,2026-01-20,2026-01-26,95.00,1.85,11.0,175.75,19.33,0.00,195.08,INV-XPO-20260130,Outstanding,null,1.30,150,0,0.00,0.00,Yes,4.3,Mexico Logistics SA. New border pre-clearance program working well. 6-day transit competitive.
FRT-031,10,10,DHL,India,3,India-Midwest,Standard,2025-07-10,2025-07-28,240.00,2.40,13.0,576.00,74.88,20.00,670.88,INV-DHL-20250805,Paid,2025-08-20,1.68,400,0,0.00,0.00,No,3.3,Mumbai Textiles Ltd. 3-day delay from monsoon-related port closure. Accessorial for fumigation certificate.
FRT-032,18,18,FedEx,China,5,China-Pacific NW,Express,2025-06-01,2025-06-10,155.00,3.20,12.0,496.00,59.52,0.00,555.52,INV-FDX-20250615,Paid,2025-06-30,2.78,200,0,0.00,0.00,Yes,4.5,Shenzhen Fast Supply - one of the few on-time deliveries. Express service helped offset production delays.
FRT-033,22,22,Maersk,Brazil,7,Brazil-Pacific NW,Ocean Freight,2025-07-15,2025-08-25,1650.00,0.82,15.5,1353.00,209.72,65.00,1627.72,INV-MSK-20250830,Paid,2025-09-15,2.03,800,3,150.00,0.00,No,2.5,Sao Paulo Packaging. 10-day delay. Santos port congestion. Switched to Paranagua for next shipment.
FRT-034,28,28,UPS,Germany,4,Germany-Midwest,Standard,2025-08-20,2025-09-01,105.00,2.75,11.0,288.75,31.76,0.00,320.51,INV-UPS-20250905,Paid,2025-09-20,1.60,200,0,0.00,0.00,Yes,4.3,EuroSupply GmbH. Reliable as always. Automated warehouse loading improved pallet condition.
FRT-035,33,33,DHL,South Korea,1,South Korea-East Coast,Standard,2025-05-15,2025-05-28,190.00,2.55,11.5,484.50,55.72,0.00,540.22,INV-DHL-20250605,Paid,2025-06-20,1.80,300,0,0.00,0.00,Yes,4.4,Seoul Electronics. Standard service adequate for non-urgent components. Good packaging.
FRT-036,38,38,XPO Logistics,USA-Domestic,3,Domestic-Midwest,LTL,2025-09-10,2025-09-12,350.00,0.90,8.5,315.00,26.78,0.00,341.78,INV-XPO-20250920,Paid,2025-10-05,0.57,600,0,0.00,0.00,Yes,4.6,MidWest Industrial. 2-day LTL. Best domestic logistics. Warehouse expansion means faster loading.
FRT-037,42,42,FedEx,Vietnam,6,Vietnam-Southeast,Standard,2025-10-20,2025-11-05,185.00,2.15,12.5,397.75,49.72,0.00,447.47,INV-FDX-20251110,Paid,2025-11-25,1.79,250,0,0.00,0.00,Yes,4.3,Vietnam Manufacturing. Consistent standard service. Carbon-neutral shipping option used.
FRT-038,48,48,UPS,Taiwan,2,Taiwan-East Coast,Express,2025-11-15,2025-11-23,130.00,3.10,12.0,403.00,48.36,0.00,451.36,INV-UPS-20251130,Paid,2025-12-15,2.26,200,0,0.00,0.00,Yes,4.5,Taiwan Precision Corp. Express service. Earthquake-proof packaging noted. Premium but worth it.
FRT-039,52,52,Maersk,Peru,8,Peru-MidWest,Ocean Freight,2025-12-05,2026-01-10,880.00,0.78,14.5,686.40,99.53,40.00,825.93,INV-MSK-20260115,Outstanding,null,1.65,500,0,0.00,0.00,No,3.2,Andean Metals Corp. 5-day delay from holiday port closures. Ocean rate competitive. Copper shipment intact.
FRT-040,58,58,DHL,Morocco,1,Morocco-East Coast,Standard,2026-02-10,2026-03-20,78.00,2.80,14.0,218.40,30.58,85.00,333.98,INV-DHL-20260325,Outstanding,null,3.34,100,4,200.00,0.00,No,1.8,Casablanca Imports. Another customs nightmare. 20-day delay. Phytosanitary cert rejected again. Accessorial for re-inspection and cold storage during hold. Worst freight experience this quarter.
